Slot,Course,Instructor,Room
Slot5,SC223,MKR,CEP-102
Slot5,EL401,HSJ,CEP-103
Slot5,MC213,SP,CEP-105
Slot5,EL453,RP,CEP-106
Slot5,EL467,YA,CEP-108
Slot5,MA615,TBD,CEP-109
Slot5,SC223,MKG,CEP-110
Slot5,MC311,NKS,CEP-202
Slot5,EL312,AKR,CEP-204
Slot5,EL519,BM,CEP-205
Slot5,IT603,AC,CEP-207
Slot5,IT645,SB,CEP-209
Slot5,DS605,AR2,LAB-A-SF
Slot5,IT112,SS,LT-2
Slot5,IT112,RC,LT-3
Slot8,CT509,YV,CEP-103
Slot8,ED214,BM,CEP-104
Slot8,IE417,TKM,CEP-106
Slot8,EL530,TKM,CEP-106
Slot8,CT425,DKG,CEP-108
Slot8,MC313,GD,CEP-202
Slot8,IT594,SDG,CEP-204
Slot8,CS374,PK2,CEP-205
Slot8,IT531,PKS,CEP-209
Slot8,PC110,AM,LT-3
Slot6,CT303,MK2,CEP-102
Slot6,HM404,VM,CEP-103
Slot6,MC112,NJ,CEP-104
Slot6,HM479,ANS,CEP-104
Slot6,MC212,AKM,CEP-105
Slot6,HM484,BK,CEP-106
Slot6,CT549,AJ,CEP-107
Slot6,HM333,NB,CEP-108
Slot6,EL526,YA,CEP-109
Slot6,IT314,ST,CEP-110
Slot6,MC312,MT,CEP-202
Slot6,HM406,RB,CEP-203
Slot6,HM408,AD,CEP-204
Slot6,HM403,CJ,CEP-209
Slot6,EL111,RLD,LT-2
Slot6,EL111,PK,LT-3
Slot7,IT304,PKS,CEP-102
Slot7,SC478,PR,CEP-103
Slot7,MC111,VS,CEP-104
Slot7,ED111,PK2,CEP-105
Slot7,IT582,MVJ,CEP-106
Slot7,SC435,MT,CEP-108
Slot7,IT304,SS,CEP-110
Slot7,MC314,CJ,CEP-202
Slot7,T643,ST,CEP-209
Slot7,IT641,BG,LAB-A-SF
Slot3,IT216,RM,CEP-102
Slot3,IE403,MK,CEP-103
Slot3,MC123,SB2,CEP-104
Slot3,ED212,PK,CEP-105
Slot3,MC214,AMM,CEP-106
Slot3,IE411,AMM,CEP-106
Slot3,IE402,NKS,CEP-108
Slot3,MA613,TBD,CEP-109
Slot3,IT216,PB,CEP-110
Slot3,DS603,BG,CEP-202
Slot3,IE407,VSP,CEP-204
Slot3,IE494,PMJ,CEP-209
Slot3,IT642,BC,LAB-A-SF
Slot3,IE406,PA,LT-1
Slot3,SC107,AM2,LT-2
Slot3,PC110,AM,LT-3
Slot4,HM216,SJ,CEP-102
Slot4,ED112,AR,CEP-103
Slot4,MC116,SR,CEP-104
Slot4,MC216,SK,CEP-105
Slot4,SC404,AM2,CEP-106
Slot4,ED213,HP,CEP-107
Slot4,HM405,VF,CEP-108
Slot4,MA614,TBD,CEP-109
Slot4,IT227,AKM,CEP-110
Slot4,SC471,VS,CEP-202
Slot4,HM407,VF,CEP-204
Slot4,SC612,SP,CEP-207
Slot4,IT644,JL,CEP-209
Slot4,DS604,PMJ,LAB
Slot4,CT303,AJ,LT-1
Slot4,IT314,ST,LT-2
Slot4,SC107,SB2,LT-3
Slot1,HM216,SJ,CEP-102
Slot1,CT437,HP,CEP-103
Slot1,CT540,HP,CEP-103
Slot1,DS602,TB,CEP-106
Slot1,IE415,SK,CEP-108
Slot1,MA612,GP,CEP-109
Slot1,IT227,AKM,CEP-110
Slot1,SC477,GD,CEP-202
Slot1,CT505,SM,CEP-203
Slot1,SC401,AR,CEP-204
Slot1,IT575,AT,CEP-205
Slot1,IT580,MLD,CEP-209
Slot1,IT634,MLD,CEP-209
Slot1,IT615,MB,CEP-207
Slot1,DS601,PA,LAB-A-SF
Slot2,CT204,SM,CEP-102
Slot2,IT422,RM,CEP-103
Slot2,ED211,MKG,CEP-104
Slot2,MC211,MS,CEP-105
Slot2,IT486,AMM,CEP-106
Slot2,IT524,MVJ,CEP-108
Slot2,MA611,TBD,CEP-109
Slot2,CT204,AT,CEP-110
Slot2,IT324,MKR,CEP-205
Slot2,PC512,PD,CEP-202
Slot2,IT550,VF,CEP-203
Slot2,IT462,GP,CEP-204
Slot2,IT634,MLD,CEP-209
