Day,Time,Slot
Monday,8:00-8:50,Slot5
Monday,9:00-9:50,Slot4
Monday,10:00-10:50,Slot2
Monday,11:00-11:50,Slot7
Monday,12:00-12:50,Slot1
Tuesday,8:00-8:50,Slot8
Tuesday,9:00-9:50,Slot6
Tuesday,10:00-10:50,Slot5
Tuesday,11:00-11:50,Slot3
Tuesday,12:00-12:50,Slot1
Wednesday,8:00-8:50,Slot6
Wednesday,9:00-9:50,Slot8
Wednesday,10:00-10:50,free
Wednesday,11:00-11:50,Slot7
Wednesday,12:00-12:50,Slot2
Thursday,8:00-8:50,Slot7
Thursday,9:00-9:50,Slot3
Thursday,10:00-10:50,Slot4
Thursday,11:00-11:50,Slot5
Thursday,12:00-12:50,Slot1
Friday,8:00-8:50,Slot3
Friday,9:00-9:50,Slot8
Friday,10:00-10:50,Slot6
Friday,11:00-11:50,Slot4
Friday,12:00-12:50,Slot2
